id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
106423,UCSB,IZC,,PreservedSpecimen,9742ba20-269f-45de-b9be-f16cde37d401,UCSB-IZC00011396,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-12,2018,5,12,132,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:16:24",,1,urn:uuid:9742ba20-269f-45de-b9be-f16cde37d401,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106423
106424,UCSB,IZC,,PreservedSpecimen,06e0a705-7144-42ef-8145-0ad9e97ea3b9,UCSB-IZC00011350,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-12,2018,5,12,132,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:17:40",,1,urn:uuid:06e0a705-7144-42ef-8145-0ad9e97ea3b9,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106424
106425,UCSB,IZC,,PreservedSpecimen,b3e928a3-6ed9-4b74-9036-22b1abc55d9a,UCSB-IZC00010714,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-12,2018,5,12,132,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:18:06",,1,urn:uuid:b3e928a3-6ed9-4b74-9036-22b1abc55d9a,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106425
106426,UCSB,IZC,,PreservedSpecimen,e57e57ec-6c69-4cb6-9f81-50b9d73ceafd,UCSB-IZC00010705,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-04-13,2018,4,13,103,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:21:16",,1,urn:uuid:e57e57ec-6c69-4cb6-9f81-50b9d73ceafd,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106426
106427,UCSB,IZC,,PreservedSpecimen,2ddefc69-6fad-4110-8c9c-512f89b2cbb2,UCSB-IZC00011397,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-04-13,2018,4,13,103,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:21:09",,1,urn:uuid:2ddefc69-6fad-4110-8c9c-512f89b2cbb2,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106427
106428,UCSB,IZC,,PreservedSpecimen,809a3369-b029-4229-8b14-7abe24773753,UCSB-IZC00011387,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-04-13,2018,4,13,103,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:21:43",,1,urn:uuid:809a3369-b029-4229-8b14-7abe24773753,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106428
106429,UCSB,IZC,,PreservedSpecimen,cea2c1e7-8573-4bf3-89c8-fdd6499e9f6d,UCSB-IZC00011346,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-18,2018,5,18,138,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:37:42",,1,urn:uuid:cea2c1e7-8573-4bf3-89c8-fdd6499e9f6d,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106429
106430,UCSB,IZC,,PreservedSpecimen,6c096c6f-de52-4bb9-9587-35f5c21002aa,UCSB-IZC00011351,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-18,2018,5,18,138,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:51:05",,1,urn:uuid:6c096c6f-de52-4bb9-9587-35f5c21002aa,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106430
106431,UCSB,IZC,,PreservedSpecimen,b44c66dc-b884-44b6-8225-3570a426d41a,UCSB-IZC00010721,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-18,2018,5,18,138,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:52:32",,1,urn:uuid:b44c66dc-b884-44b6-8225-3570a426d41a,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106431
106432,UCSB,IZC,,PreservedSpecimen,a1e510a0-868d-4b11-afa0-47b2246f9dca,UCSB-IZC00011286,,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,"Ophion sp. RBoph003",4613,,Ophion,"sp. RBoph003",,,"Rachel Behm",2018,,,,,,"P. & S. Russell",,,,2018-05-19,2018,5,19,139,,,,,,,,,,,,,,,,,,"UV/MV light",,,"United States",California,"Santa Barbara","Santa Barbara","3770 Foothill Road",,,,34.4638,-119.7436,,,,,,,,,215,,,,,,,,czhu,"2018-07-05 13:52:59",,1,urn:uuid:a1e510a0-868d-4b11-afa0-47b2246f9dca,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=106432
